id,段落id,所属经文,句子
01-source-01-1,01-source-01,南山经,南山之首曰䧿山
01-source-01-2,01-source-01,南山经,其首曰招摇之山，临于西海之上，多桂，多金玉
01-source-01-3,01-source-01,南山经,有草焉，其状如韭而青华，其名曰祝馀，食之不饥
01-source-01-4,01-source-01,南山经,有木焉，其状如榖而黑理，其华四照，其名曰迷榖，佩之不迷
01-source-01-5,01-source-01,南山经,有兽焉，其状如禺而白耳，伏行人走，其名曰狌狌，食之善走
01-source-01-6,01-source-01,南山经,丽𪊨之水出焉，而西流注于海，其中多育沛，佩之无瘕疾
01-source-02-1,01-source-02,南山经,又东三百里，曰堂庭之山，多棪木，多白猿，多水玉，多黄金
01-source-02-2,01-source-02,南山经,又东三百八十里，曰即翼之山，其中多怪兽，水多怪鱼，多白玉，多蝮虫，多怪蛇，多怪木，不可以上
01-source-02-3,01-source-02,南山经,又东三百七十里，曰杻阳之山，其阳多赤金，其阴多白金
01-source-02-4,01-source-02,南山经,有兽焉，其状如马而白首，其文如虎而赤尾，其音如谣，其名曰鹿蜀，佩之宜子孙
01-source-02-5,01-source-02,南山经,怪水出焉，而东流注于宪翼之水
01-source-02-6,01-source-02,南山经,其中多玄龟，其状如龟而鸟首虺尾，其名曰旋龟，其音如判木，佩之不聋，可以为底
01-source-03-1,01-source-03,南山经,又东三百里，曰柢山，多水，无草木
01-source-03-2,01-source-03,南山经,有鱼焉，其状如牛，陵居，蛇尾有翼，其羽在魼下，其音如留牛，其名曰鯥，冬死而夏生，食之无肿疾
01-source-03-3,01-source-03,南山经,又东四百里，曰亶爰之山，多水，无草木，不可以上
01-source-03-4,01-source-03,南山经,有兽焉，其状如狸而有髦，其名曰类，自为牝牡，食者不妒
01-source-03-5,01-source-03,南山经,又东三百里，曰基山，其阳多玉，其阴多怪木
01-source-03-6,01-source-03,南山经,有兽焉，其状如羊，九尾四耳，其目在背，其名曰猼訑，佩之不畏
01-source-03-7,01-source-03,南山经,有鸟焉，其状如鸡而三首六目、六足三翼，其名曰𪁺𩿧，食之无卧
01-source-04-1,01-source-04,南山经,又东三百里，曰青丘之山，其阳多玉，其阴多青雘
