id	名字	类别	归属	所属段落	所属句子
01-01-1	䧿山	山系		01-source-01	01-source-01-1
01-01-2	招摇山	山	01-01-1	01-source-01	01-source-01-2
01-01-3	祝馀	草	01-01-2	01-source-01	01-source-01-3
01-01-4	迷榖	木	01-01-2	01-source-01	01-source-01-4
01-01-5	狌狌	兽	01-01-2	01-source-01	01-source-01-5
01-01-6	丽𪊨水	水	01-01-2	01-source-01	01-source-01-6
01-01-7	育沛	草	01-01-6	01-source-01	01-source-01-6
01-02-1	堂庭山	山	01-01-1	01-source-02	01-source-02-1
01-02-2	即翼山	山	01-01-1	01-source-02	01-source-02-2
01-02-3	杻阳山	山	01-01-1	01-source-02	01-source-02-3
01-02-4	鹿蜀	兽	01-02-3	01-source-02	01-source-02-4
01-02-5	怪水	水	01-02-3	01-source-02	01-source-02-5
01-02-6	旋龟	兽	01-02-5	01-source-02	01-source-02-6
01-03-1	柢山	山	01-01-1	01-source-03	01-source-03-1
01-03-2	鯥	鱼	01-03-1	01-source-03	01-source-03-2
01-03-3	亶爰山	山	01-01-1	01-source-03	01-source-03-3
01-03-4	类	兽	01-03-3	01-source-03	01-source-03-4
01-03-5	基山	山	01-01-1	01-source-03	01-source-03-5
01-03-6	猼訑	兽	01-03-5	01-source-03	01-source-03-6
01-03-7	𪁺𩿧	鸟	01-03-5	01-source-03	01-source-03-7
01-04-1	青丘山	山	01-01-1	01-source-04	01-source-04-1
01-04-2	九尾狐	兽	01-04-1	01-source-04	01-source-04-2
01-04-3	灌灌	鸟	01-04-1	01-source-04	01-source-04-3
01-04-4	英水	水	01-04-1	01-source-04	01-source-04-4
01-04-5	赤鱬	鱼	01-04-4	01-source-04	01-source-04-5
01-04-6	箕尾山	山	01-01-1	01-source-04	01-source-04-6
01-04-7	汸水	水	01-04-6	01-source-04	01-source-04-7
01-05-1	南次二山	山系		01-source-05	01-source-05-4
01-05-2	柜山	山	01-05-1	01-source-05	01-source-05-4
01-05-3	英水	水	01-05-2	01-source-05	01-source-05-5
01-05-4	狸力	兽	01-05-2	01-source-05	01-source-05-6
01-05-5	鴸	鸟	01-05-2	01-source-05	01-source-05-7
01-05-6	长右山	山	01-05-1	01-source-05	01-source-05-8
01-05-7	长右	兽	01-05-6	01-source-05	01-source-05-9
01-05-8	尧光山	山	01-05-1	01-source-05	01-source-05-10
01-05-9	猾褢	兽	01-05-8	01-source-05	01-source-05-11
01-06-1	羽山	山	01-05-1	01-source-06	01-source-06-1
01-06-2	瞿父山	山	01-05-1	01-source-06	01-source-06-2
01-06-3	句馀山	山	01-05-1	01-source-06	01-source-06-3
01-06-4	浮玉山	山	01-05-1	01-source-06	01-source-06-4
01-06-5	彘	兽	01-06-4	01-source-06	01-source-06-5
01-06-6	苕水	水	01-06-4	01-source-06	01-source-06-6
01-06-7	鮆鱼	鱼	01-06-6	01-source-06	01-source-06-7
01-06-8	成山	山	01-05-1	01-source-06	01-source-06-8
01-06-9	𨴯水	水	01-06-8	01-source-06	01-source-06-9
01-06-10	会稽山	山	01-05-1	01-source-06	01-source-06-10
01-06-11	勺水	水	01-06-10	01-source-06	01-source-06-11
