id,名称,别名(释名),气味,主治,附方,生长,考释
1,玉泉,玉札,味甘平,主治五脏百病。柔筋强骨，安魂魄，长肌肉，益气，久服耐寒暑，不饥渴，不老神仙。人临死服五斤，死三年色不变,,,
2,丹沙,,味甘微寒,治身体五脏百病。养精神，安魂魄，益气，明目，杀精魅邪恶鬼。久服通神明不老。能化为汞,,山谷,
3,水银,,味辛寒,主治疥瘙痂疡百秃，杀皮肤中虫虱，堕胎，除热。杀金银铜锡毒，熔化还复为丹。久服神仙不死,,平土,
4,空青,,味甘寒,主治青盲，耳聋。明目，利九窍，通血脉，养精神。久服轻身延年不老。能化铜铁铅锡作金,,山谷,
5,曾青,,味酸小寒,主治目痛，止泪出，风痹，利关节，通九窍，破癥瘕积聚。久服轻身不老。能化金铜,,山谷,
6,白青,,味甘平,主明目，利九窍，耳聋，心下邪气。令人吐，杀诸毒三虫。久服通神明，轻身延年不老,,山谷,
7,云母,云珠/云华/云英/云液/云沙/鳞石,味甘平,主治身皮死肌，中风寒热如在车船上，除邪气，安五脏，益子精，明目，轻身延年,,山谷,
8,朴消,,味苦寒无毒,主治百病，除寒热邪气，逐六腑积聚，结固留癖。能化七十二种石。炼饵服之，轻身神仙,,山谷,
9,消石,芒硝,味苦寒,主治五脏积热，胃胀闭。涤去畜结饮食，推陈致新，除邪气。炼之如膏，久服轻身,,山谷,
10,矾石,羽涅,味酸寒,主治寒热泄利，白沃阴蚀，恶疮目痛，坚骨齿。炼饵服之，轻身不老增年,,山谷,
11,滑石,,味甘寒,主治身热泄澼，女子乳难，癃闭。利小便，荡胃中积聚寒热，益精气。久服轻身，耐饥，长年,,赭阳山谷,
12,紫石,,味甘平,主治心腹欬逆邪气，补不足，女子风寒在子宫，绝孕十年无子。久服温中，轻身，延年,,太山山谷,
13,白石英,,味甘微温,主治消渴，阴痿不足，欬逆，胸膈间久寒。益气，除风湿痹。久服轻身，长年,,山谷,
14,青石/赤石/黄石/白石/黑石脂,,味甘平,主治黄疸，泄利，肠澼脓血，阴蚀，下血赤白，邪气，痈肿，疽痔恶疮，头疡，疥瘙。久服补髓益气，肥健，不饥，轻身，延年。五石脂，各随五色补五脏,,山谷,
15,太一禹余粮,石脑,味甘平,主治咳逆上气，癥瘕，血闭，漏下，除邪气。久服耐寒暑不饥，轻身飞行千里神仙,,山谷,
16,禹余粮,,味甘寒,主治咳逆，寒热，烦满，下利赤白，血闭癥家大热。炼饵服之，不饥，轻身，延年,,池泽,
